EmployeeNumber,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1001,41,Travel_Rarely,648,Sales,13,4,Human Resources,1,3,Female,56,2,3,Sales Representative,2,Married,62840,12417,2,Y,Yes,16,2,2,80,0,6,1,2,6,2,2,1
1002,36,Non-Travel,985,Sales,7,2,Life Sciences,1,4,Male,84,3,3,Manager,4,Single,78963,18092,1,Y,Yes,23,3,4,80,1,20,3,4,8,3,3,8
1003,36,Non-Travel,497,Research & Development,20,1,Life Sciences,1,3,Male,59,2,1,Laboratory Technician,2,Divorced,72571,9783,5,Y,Yes,18,2,3,80,1,8,2,3,8,4,2,2
1004,36,Travel_Rarely,1385,Research & Development,5,1,Life Sciences,1,3,Male,92,3,3,Healthcare Representative,3,Married,115650,19147,3,Y,No,21,3,3,80,3,24,2,3,12,9,0,6
1005,50,Travel_Frequently,818,Sales,5,4,Marketing,1,2,Female,67,2,3,Sales Executive,2,Divorced,49146,10452,2,Y,Yes,13,2,2,80,1,11,2,3,6,3,3,3
1006,44,Non-Travel,1274,Research & Development,8,5,Medical,1,4,Female,70,4,5,Manufacturing Director,4,Single,119022,15832,1,Y,No,25,3,4,80,2,14,3,3,6,4,3,7
1007,34,Travel_Frequently,551,Research & Development,27,5,Medical,1,2,Male,43,2,1,Manufacturing Director,1,Married,59136,2203,4,Y,Yes,12,2,1,80,1,4,0,2,1,2,8,2
1008,42,Travel_Frequently,595,Sales,19,3,Medical,1,1,Female,54,1,1,Sales Executive,1,Married,38530,4286,5,Y,Yes,14,1,2,80,0,7,0,2,1,1,10,1
1009,39,Travel_Rarely,435,Human Resources,16,3,Medical,1,3,Female,80,3,2,Human Resources,2,Married,56047,13441,4,Y,Yes,11,2,3,80,2,12,2,2,5,1,5,2
1010,22,Travel_Frequently,207,Human Resources,19,5,Marketing,1,2,Male,43,1,2,Human Resources,2,Married,44077,6751,9,Y,Yes,15,1,1,80,1,3,1,2,3,2,11,2
1011,29,Travel_Rarely,1435,Human Resources,7,5,Technical Degree,1,4,Female,92,3,3,Human Resources,3,Married,65842,20291,1,Y,No,24,3,3,80,1,14,5,4,14,6,1,5
1012,40,Non-Travel,1341,Sales,5,1,Technical Degree,1,3,Male,77,3,5,Research Scientist,3,Single,79159,18499,3,Y,Yes,22,4,4,80,1,19,5,3,19,8,3,9
1013,49,Travel_Rarely,1483,Sales,10,3,Marketing,1,3,Female,88,3,2,Manager,3,Divorced,74991,20232,2,Y,No,18,4,4,80,2,19,2,3,11,4,3,9
1014,36,Travel_Rarely,619,Sales,7,4,Human Resources,1,2,Female,54,3,3,Manager,2,Married,66499,15101,5,Y,No,11,2,3,80,1,10,1,3,5,1,5,3
1015,33,Non-Travel,944,Sales,1,3,Medical,1,4,Male,74,3,3,Sales Representative,4,Married,85188,21758,1,Y,No,15,3,4,80,3,20,2,4,20,3,0,8
1016,38,Non-Travel,1055,Research & Development,10,3,Medical,1,3,Male,87,4,2,Healthcare Representative,3,Married,93042,21018,3,Y,No,25,3,3,80,1,25,4,4,17,9,1,4
1017,33,Travel_Frequently,525,Human Resources,20,4,Life Sciences,1,1,Female,59,1,1,Manager,2,Married,49579,2709,8,Y,Yes,15,2,2,80,1,6,1,2,4,2,9,2
1018,35,Non-Travel,1200,Human Resources,4,5,Human Resources,1,4,Male,87,4,5,Human Resources,3,Married,68803,17937,2,Y,No,23,4,3,80,3,12,2,4,11,8,2,8
1019,37,Travel_Frequently,261,Sales,16,3,Medical,1,2,Female,33,2,1,Research Scientist,1,Married,45601,6389,9,Y,Yes,13,2,2,80,1,5,1,2,3,2,10,1
1020,29,Travel_Frequently,426,Sales,19,3,Other,1,1,Male,57,1,1,Sales Representative,2,Married,52504,6021,9,Y,Yes,11,1,2,80,1,10,0,1,2,0,9,0
1021,44,Travel_Rarely,1494,Research & Development,10,4,Marketing,1,3,Female,86,4,3,Research Scientist,4,Single,97630,20232,1,Y,No,16,4,3,80,1,23,3,4,20,4,0,5
1022,28,Travel_Frequently,218,Sales,19,3,Human Resources,1,1,Female,39,1,1,Research Scientist,1,Married,54101,7791,4,Y,Yes,14,1,2,80,0,9,1,1,1,0,7,2
1023,27,Travel_Frequently,458,Human Resources,26,3,Other,1,1,Male,42,1,2,Human Resources,1,Married,53574,4230,5,Y,Yes,11,2,1,80,1,9,1,2,2,0,6,0
1024,39,Non-Travel,1118,Sales,8,4,Other,1,3,Male,80,4,4,Research Scientist,3,Married,89378,19260,2,Y,No,25,3,3,80,3,21,5,3,6,5,3,10
1025,43,Travel_Rarely,973,Research & Development,1,3,Other,1,4,Female,87,4,3,Manufacturing Director,4,Divorced,90376,16146,2,Y,No,24,3,4,80,1,21,4,3,8,9,0,10
1026,39,Travel_Rarely,1264,Human Resources,4,5,Medical,1,3,Female,74,3,5,Human Resources,3,Married,63919,20284,3,Y,No,21,4,3,80,3,21,4,4,19,4,1,10
1027,37,Travel_Frequently,219,Sales,24,3,Human Resources,1,2,Male,57,1,2,Sales Representative,1,Single,42482,5365,6,Y,Yes,12,2,2,80,1,5,1,2,3,2,12,1
1028,35,Travel_Rarely,800,Research & Development,7,4,Other,1,2,Female,58,3,2,Manager,2,Married,77423,10773,5,Y,No,17,2,2,80,2,14,1,3,8,1,5,1
1029,34,Travel_Frequently,507,Sales,15,4,Marketing,1,1,Female,31,2,2,Manager,2,Married,49916,4403,4,Y,Yes,13,1,1,80,1,2,0,1,1,2,6,1
1030,46,Travel_Rarely,775,Human Resources,5,5,Technical Degree,1,3,Female,84,3,3,Human Resources,3,Married,70853,19661,3,Y,No,25,4,4,80,2,20,4,3,20,5,1,10
1031,40,Travel_Frequently,417,Human Resources,18,2,Technical Degree,1,2,Female,38,2,1,Human Resources,1,Divorced,41043,7552,4,Y,Yes,12,1,2,80,1,7,1,1,2,0,11,1
1032,34,Travel_Rarely,1472,Sales,2,1,Human Resources,1,4,Male,100,3,3,Sales Executive,3,Married,89639,17696,1,Y,No,20,4,4,80,2,11,4,4,11,5,2,7
1033,32,Travel_Frequently,159,Sales,25,3,Human Resources,1,2,Male,34,1,2,Research Scientist,2,Single,45096,2371,8,Y,Yes,14,2,2,80,0,6,0,2,1,1,5,2
1034,42,Travel_Frequently,150,Research & Development,28,2,Human Resources,1,2,Female,51,2,2,Manager,2,Single,73551,5009,4,Y,Yes,14,2,1,80,0,5,1,2,0,1,11,1
1035,46,Non-Travel,878,Human Resources,9,1,Technical Degree,1,4,Female,73,3,4,Manager,3,Single,75425,24830,1,Y,No,19,4,3,80,1,11,2,3,11,4,1,6
1036,45,Travel_Rarely,729,Research & Development,14,5,Marketing,1,3,Male,80,2,2,Manufacturing Director,2,Single,72934,8255,4,Y,Yes,14,2,4,80,1,13,3,2,7,1,5,4
1037,31,Travel_Rarely,854,Research & Development,18,4,Other,1,2,Female,57,2,2,Laboratory Technician,2,Divorced,90885,11389,5,Y,Yes,12,3,2,80,0,14,3,3,4,3,5,3
1038,35,Travel_Rarely,1062,Human Resources,2,3,Technical Degree,1,4,Female,97,3,5,Human Resources,4,Married,72465,24900,3,Y,No,24,4,3,80,1,23,2,3,7,4,3,4
1039,34,Travel_Frequently,239,Sales,15,3,Life Sciences,1,2,Female,52,1,1,Manager,1,Married,50442,4531,6,Y,Yes,15,1,1,80,1,6,0,1,2,2,10,0
1040,36,Non-Travel,1390,Human Resources,10,5,Other,1,3,Male,72,4,2,Human Resources,3,Married,66503,18458,2,Y,No,15,4,4,80,3,19,2,3,19,8,1,8
1041,44,Non-Travel,1035,Sales,5,4,Marketing,1,3,Female,73,4,4,Research Scientist,4,Single,92180,14126,3,Y,No,19,3,4,80,1,14,3,4,14,3,1,9
1042,48,Travel_Rarely,894,Sales,17,5,Other,1,3,Male,60,2,1,Research Scientist,3,Single,65763,9407,4,Y,No,17,3,4,80,2,8,2,2,5,1,5,1
1043,40,Travel_Frequently,174,Sales,18,2,Technical Degree,1,2,Male,38,1,1,Research Scientist,1,Married,58313,3616,9,Y,Yes,13,1,2,80,0,4,1,2,2,0,6,2
1044,32,Travel_Rarely,1077,Sales,1,4,Human Resources,1,3,Male,96,3,2,Sales Representative,4,Married,77935,18703,3,Y,Yes,19,3,4,80,2,20,2,4,20,10,2,7
1045,37,Non-Travel,989,Research & Development,6,5,Other,1,4,Female,82,3,4,Research Scientist,3,Divorced,104488,20697,3,Y,Yes,22,3,3,80,1,20,3,4,19,4,2,4
1046,50,Travel_Rarely,585,Human Resources,18,1,Human Resources,1,3,Female,50,2,3,Manager,3,Married,55985,10970,2,Y,Yes,16,3,2,80,2,6,2,2,4,3,5,2
1047,38,Travel_Rarely,1325,Human Resources,4,2,Medical,1,3,Male,79,4,5,Human Resources,3,Divorced,66287,21355,1,Y,No,15,3,3,80,3,19,5,4,9,9,1,5
1048,35,Travel_Rarely,442,Sales,8,3,Other,1,3,Female,74,3,2,Sales Representative,3,Divorced,58539,9313,4,Y,Yes,16,2,4,80,2,12,2,3,3,2,6,2
1049,36,Travel_Rarely,869,Human Resources,6,2,Technical Degree,1,3,Male,76,3,2,Human Resources,3,Divorced,55745,11870,3,Y,Yes,16,2,4,80,1,6,1,2,3,4,2,3
1050,40,Travel_Rarely,619,Sales,9,1,Life Sciences,1,3,Female,50,3,2,Manager,3,Single,63294,13036,5,Y,Yes,11,2,2,80,0,14,2,2,2,1,3,4
1051,31,Travel_Frequently,580,Human Resources,9,5,Marketing,1,3,Female,67,3,1,Human Resources,2,Single,63015,10773,2,Y,No,12,3,2,80,0,13,3,3,4,3,2,3
1052,33,Travel_Frequently,569,Sales,6,2,Life Sciences,1,2,Female,58,2,3,Manager,2,Married,64306,9019,5,Y,Yes,14,3,2,80,0,8,3,3,2,3,4,4
1053,45,Travel_Frequently,708,Human Resources,14,4,Marketing,1,3,Female,72,3,2,Human Resources,3,Divorced,61251,11490,4,Y,Yes,16,3,2,80,0,14,1,3,2,4,6,2
1054,40,Non-Travel,1395,Sales,10,3,Human Resources,1,4,Female,84,3,3,Manager,3,Divorced,67630,20077,1,Y,No,20,3,4,80,1,18,4,3,5,5,3,3
1055,38,Travel_Frequently,202,Human Resources,26,5,Marketing,1,1,Male,33,1,2,Human Resources,2,Married,51304,3111,4,Y,Yes,12,2,1,80,1,6,1,1,3,2,11,2
1056,45,Travel_Frequently,113,Research & Development,27,1,Other,1,1,Male,41,2,2,Laboratory Technician,2,Divorced,75386,6538,8,Y,Yes,12,1,2,80,0,5,0,2,1,2,7,1
1057,32,Non-Travel,1011,Human Resources,9,1,Marketing,1,3,Male,75,4,3,Human Resources,4,Married,64558,16653,1,Y,Yes,23,3,3,80,1,7,5,4,7,10,3,8
1058,35,Travel_Rarely,1209,Human Resources,10,1,Marketing,1,3,Female,98,3,2,Human Resources,3,Single,68542,24275,1,Y,No,25,3,3,80,3,12,4,4,10,8,0,3
1059,40,Travel_Frequently,363,Human Resources,27,3,Technical Degree,1,2,Female,47,2,2,Human Resources,1,Single,40097,2869,5,Y,Yes,14,2,2,80,1,4,1,1,3,0,10,2
1060,40,Travel_Frequently,446,Human Resources,20,4,Medical,1,3,Female,80,2,1,Human Resources,3,Single,57150,11221,3,Y,Yes,18,2,2,80,1,11,3,3,8,3,6,3
1061,26,Travel_Frequently,658,Sales,7,1,Life Sciences,1,2,Male,64,3,2,Sales Representative,3,Single,59597,14261,4,Y,No,14,2,2,80,1,9,1,3,3,3,4,4
1062,34,Travel_Frequently,576,Human Resources,17,3,Marketing,1,1,Male,49,1,2,Manager,2,Married,44726,4609,6,Y,Yes,15,2,2,80,1,10,0,1,0,0,7,2
1063,36,Non-Travel,851,Sales,9,5,Human Resources,1,4,Female,96,3,5,Manager,4,Married,76766,25153,2,Y,No,24,3,4,80,3,21,2,3,18,7,0,10
1064,41,Travel_Rarely,896,Sales,10,4,Marketing,1,4,Male,100,3,5,Sales Executive,3,Married,81833,18038,2,Y,Yes,23,3,3,80,2,17,4,4,11,8,3,9
1065,40,Travel_Rarely,906,Human Resources,8,2,Other,1,4,Male,96,3,3,Human Resources,4,Married,79248,22824,2,Y,No,20,3,4,80,2,20,2,4,17,9,2,5
1066,37,Travel_Rarely,546,Human Resources,14,5,Medical,1,2,Male,70,3,2,Human Resources,2,Single,53524,8484,2,Y,No,18,2,2,80,1,11,3,2,4,4,2,2
1067,22,Non-Travel,814,Research & Development,13,2,Technical Degree,1,3,Male,53,3,1,Healthcare Representative,2,Divorced,77730,10708,4,Y,Yes,18,3,2,80,1,6,3,3,2,1,4,1
1068,37,Travel_Frequently,103,Sales,29,1,Other,1,1,Female,38,2,1,Manager,2,Married,35710,5142,9,Y,Yes,14,1,2,80,0,7,0,1,4,1,6,1
1069,38,Travel_Frequently,344,Sales,18,5,Other,1,1,Female,34,1,1,Manager,2,Married,35990,5727,9,Y,Yes,13,2,1,80,0,5,1,2,3,1,7,1
1070,57,Non-Travel,756,Human Resources,9,2,Medical,1,3,Female,84,3,5,Human Resources,4,Married,65572,16161,3,Y,No,24,4,3,80,1,21,3,4,11,5,1,8
1071,36,Travel_Rarely,1159,Sales,6,3,Other,1,3,Male,97,4,5,Research Scientist,3,Single,73622,20184,2,Y,No,17,3,3,80,2,16,5,3,16,4,0,4
1072,40,Non-Travel,1329,Sales,1,1,Medical,1,3,Male,94,4,5,Manager,3,Divorced,82236,14256,1,Y,Yes,19,4,3,80,2,19,3,3,19,9,3,6
1073,47,Travel_Frequently,848,Sales,12,1,Technical Degree,1,2,Male,54,3,2,Sales Representative,2,Married,53324,13408,4,Y,No,16,2,3,80,2,13,3,2,3,2,2,2
1074,44,Travel_Rarely,473,Sales,14,5,Human Resources,1,2,Female,75,3,3,Manager,3,Divorced,62768,11793,3,Y,Yes,18,3,3,80,1,8,1,3,8,3,5,4
1075,49,Non-Travel,1040,Research & Development,8,5,Medical,1,3,Female,79,4,3,Healthcare Representative,3,Married,108089,14251,2,Y,No,24,3,4,80,1,23,3,4,7,6,0,7
1076,26,Travel_Frequently,568,Sales,27,2,Other,1,1,Male,36,2,2,Sales Representative,1,Married,45313,5036,6,Y,Yes,11,2,2,80,1,9,1,2,3,1,10,1
1077,30,Travel_Rarely,471,Human Resources,16,2,Life Sciences,1,2,Male,73,3,1,Human Resources,3,Single,50570,12477,5,Y,No,18,3,2,80,1,11,2,3,3,4,6,2
1078,33,Non-Travel,672,Sales,5,1,Other,1,2,Male,67,2,1,Sales Representative,3,Single,67840,11369,4,Y,Yes,18,2,2,80,2,14,3,2,2,2,6,4
1079,25,Non-Travel,515,Research & Development,12,1,Human Resources,1,2,Female,59,2,3,Research Scientist,3,Married,85927,13603,4,Y,No,16,3,2,80,1,10,1,2,3,2,6,3
1080,38,Non-Travel,716,Research & Development,3,4,Human Resources,1,4,Male,100,4,4,Research Scientist,3,Married,93166,17394,3,Y,No,16,4,4,80,2,14,2,3,8,3,1,6
1081,30,Travel_Rarely,651,Sales,13,5,Medical,1,2,Male,57,2,2,Manager,3,Married,66782,10914,5,Y,Yes,17,2,4,80,0,9,2,3,6,3,2,1
1082,50,Travel_Frequently,467,Sales,13,4,Life Sciences,1,2,Male,52,2,1,Research Scientist,2,Married,59906,9535,4,Y,Yes,15,2,3,80,0,11,1,2,5,2,5,3
1083,31,Travel_Frequently,432,Sales,20,1,Marketing,1,2,Female,55,3,1,Research Scientist,3,Married,73682,11560,3,Y,No,15,3,3,80,0,8,1,3,5,1,6,2
1084,35,Non-Travel,1317,Human Resources,5,3,Marketing,1,3,Female,100,4,4,Human Resources,3,Divorced,77546,25391,2,Y,Yes,25,4,3,80,2,25,5,4,5,9,2,9
1085,44,Travel_Rarely,1389,Sales,2,3,Marketing,1,4,Female,85,4,5,Manager,3,Married,84973,16280,3,Y,Yes,18,3,4,80,3,20,5,4,16,4,1,5
1086,28,Travel_Frequently,594,Human Resources,27,4,Technical Degree,1,2,Female,55,2,2,Human Resources,2,Single,47772,5526,5,Y,Yes,15,2,1,80,0,8,0,2,4,2,6,0
1087,25,Travel_Frequently,278,Research & Development,16,5,Other,1,2,Male,39,2,1,Research Scientist,1,Married,57118,4810,4,Y,Yes,14,2,2,80,0,4,1,2,4,2,7,1
1088,39,Travel_Rarely,1173,Sales,9,1,Technical Degree,1,4,Female,77,3,5,Sales Representative,4,Married,92430,20636,3,Y,Yes,23,3,3,80,3,11,3,3,5,8,0,5
1089,40,Travel_Rarely,1325,Sales,10,5,Medical,1,3,Female,82,4,5,Sales Representative,4,Married,71823,23617,2,Y,Yes,19,3,3,80,2,21,2,3,7,4,1,8
1090,44,Non-Travel,1133,Research & Development,10,2,Other,1,4,Female,75,3,5,Manager,3,Married,98849,21973,3,Y,No,21,3,3,80,3,25,5,3,14,4,1,8
1091,42,Travel_Rarely,415,Sales,7,2,Marketing,1,2,Female,75,2,3,Sales Representative,2,Married,65826,14234,5,Y,No,18,3,3,80,1,11,3,3,3,4,6,4
1092,40,Travel_Rarely,578,Sales,19,5,Marketing,1,2,Male,77,3,2,Sales Executive,3,Single,63762,14690,5,Y,Yes,14,2,3,80,2,8,3,2,6,1,5,2
